ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
ICE,2023-03-31,2023-05-04,2023-05-04,2472000000,,969000000,6.55e+08,561000000,1,561000000.0,0.42,0.42,,2.3167e+10,2.069e+09,1.8123e+10
ICE,2023-06-30,2023-08-03,2023-08-03,2336000000,,955000000,7.99e+08,561000000,1,561000000.0,0.42,0.42,,2.382e+10,2.877e+09,1.8128e+10
ICE,2023-09-30,2023-11-02,2023-11-02,2429000000,,845000000,5.41e+08,565000000,1,565000000.0,0.42,0.42,,2.5459e+10,8.37e+08,2.3299e+10
ICE,2023-12-31,2024-02-08,2024-02-08,2666000000,,925000000,3.73e+08,565000000,1,565000000.0,0.42,0.42,,2.5717e+10,8.99e+08,2.2613e+10
ICE,2024-03-31,2024-05-02,2024-05-02,2801000000,,1063000000,7.67e+08,575000000,1,575000000.0,0.45,0.45,,2.6239e+10,8.63e+08,2.1984e+10
ICE,2024-06-30,2024-08-01,2024-08-01,2897000000,,1066000000,6.32e+08,575000000,1,575000000.0,0.45,0.45,,2.6687e+10,8.85e+08,2.1807e+10
ICE,2024-09-30,2024-10-31,2024-10-31,3033000000,,1103000000,6.57e+08,577000000,1,577000000.0,0.45,0.45,,2.7233e+10,7.55e+08,2.12e+10
ICE,2024-12-31,2025-02-06,2025-02-06,3030000000,,1077000000,6.98e+08,576000000,1,576000000.0,0.45,0.45,,2.7647e+10,8.44e+08,2.0368e+10
ICE,2025-03-31,2025-05-01,2025-05-01,3229000000,,1221000000,7.97e+08,577000000,1,577000000.0,0.48,0.48,,2.7974e+10,7.83e+08,2.0281e+10
ICE,2025-06-30,2025-07-31,2025-07-31,3262000000,,1297000000,8.51e+08,575000000,1,575000000.0,0.48,0.48,,2.8444e+10,1.003e+09,1.9208e+10
IFF,2009-06-30,2010-08-05,2010-08-05,568261000,227914000.0,,4.8083e+07,79050000,1,79050000.0,0.25,0.25,,,1.63815e+08,0
IFF,2009-09-30,2010-11-04,2010-11-04,612634000,248854000.0,,5.28e+07,79159000,1,79159000.0,0.25,0.25,,,1.54572e+08,0
IFF,2010-03-31,2011-05-10,2011-05-10,653909000,270207000.0,,6.3789e+07,79692000,1,79692000.0,0.25,0.25,,,8.9818e+07,0
IFF,2010-06-30,2010-08-05,2010-08-05,665800000,285001000.0,107791000.0,6.7152e+07,80111000,1,80111000.0,0.25,0.25,4.54608e+08,8.4477e+08,1.10552e+08,9.83339e+08
IFF,2010-09-30,2010-11-04,2010-11-04,673283000,285048000.0,120524000.0,7.7038e+07,80266000,1,80266000.0,0.27,0.27,5.03991e+08,9.47154e+08,1.14885e+08,9.48591e+08
IFF,2010-12-31,2011-02-24,2011-02-24,629870000,252346000.0,,5.5578e+07,80440000,1,80440000.0,0.27,0.27,5.31675e+08,9.99422e+08,1.31332e+08,9.21567e+08
IFF,2011-03-31,2011-05-10,2011-05-10,714271000,297460000.0,133357000.0,8.4043e+07,81150000,1,81150000.0,0.27,0.27,5.5955e+08,1.09856e+09,1.1197e+08,9.72088e+08
IFF,2011-06-30,2011-08-09,2011-08-09,715589000,284423000.0,117985000.0,7.6188e+07,81489000,1,81489000.0,0.27,0.27,5.68162e+08,1.18462e+09,1.23431e+08,1.20004e+09
IFF,2011-09-30,2011-11-08,2011-11-08,713775000,278375000.0,128600000.0,8.2241e+07,81628000,1,81628000.0,0.31,0.31,5.34765e+08,1.19538e+09,1.07283e+08,1.06637e+09
IFF,2011-12-31,2012-02-28,2012-02-28,644383000,244398000.0,47787000.0,2.4394e+07,81467000,1,81467000.0,0.30999999999999983,0.30999999999999983,5.44439e+08,1.10441e+09,8.8279e+07,1.01162e+09
IFF,2012-03-31,2012-05-08,2012-05-08,710616000,285399000.0,120907000.0,8.1056e+07,81667000,1,81667000.0,0.31,0.31,5.55017e+08,1.1975e+09,7.6526e+07,9.63141e+08
