h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,樣本,比較,典型誤差
36,R_同產業過去10年,23592.000000,0.296598,-0.056838,0.238419,0.635342,選模期,非科技股,報酬假設,
36,R_全體過去10年,23592.000000,0.299014,-0.049157,0.239430,0.630129,選模期,非科技股,報酬假設,
6,rw,16332.000000,0.174248,0.000000,0.000000,,保留期,全部,報酬假設,
6,R_資金成本,16332.000000,0.164647,-0.055103,0.188090,0.638072,保留期,全部,報酬假設,
6,R_CAPM beta,16332.000000,0.164925,-0.053507,0.186700,0.635991,保留期,全部,報酬假設,
6,R_零,16332.000000,0.168525,-0.032843,0.179324,0.629807,保留期,全部,報酬假設,
6,R_同產業過去10年,16332.000000,0.164833,-0.054035,0.187197,0.632562,保留期,全部,報酬假設,
6,R_全體過去10年,16332.000000,0.165627,-0.049473,0.185743,0.631582,保留期,全部,報酬假設,
12,rw,13526.000000,0.252292,0.000000,0.000000,,保留期,全部,報酬假設,
12,R_資金成本,13526.000000,0.213228,-0.154839,0.286563,0.680837,保留期,全部,報酬假設,
12,R_CAPM beta,13526.000000,0.213074,-0.155448,0.281711,0.678767,保留期,全部,報酬假設,
12,R_零,13526.000000,0.228671,-0.093629,0.261405,0.656070,保留期,全部,報酬假設,
12,R_同產業過去10年,13526.000000,0.213110,-0.155306,0.289775,0.678175,保留期,全部,報酬假設,
12,R_全體過去10年,13526.000000,0.215770,-0.144763,0.284385,0.677140,保留期,全部,報酬假設,
24,rw,8453.000000,0.300578,0.000000,0.000000,,保留期,全部,報酬假設,
